Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07QTQ3CS7/ref=sxin_17_trfobq2av2_6_B07QTQ3CS7?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07QTQ3CS7&pd_rd_r=c695fb7b-8954-4996-82ea-e69ae820e984&pd_rd_w=bM1Vj&pd_rd_wg=rBxKH&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=4H8EE3GY822WERTYWW40&qid=1690460455&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling,₹298,4.2,82,N/A,N/A,N/A,N/A
https://www.amazon.in/Amazon-Brand-Solimo-Polyester-Backpack/dp/B0B46XH98S/ref=sxin_17_trfobq2av2_7_B0B46XH98S?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0B46XH98S&pd_rd_r=c695fb7b-8954-4996-82ea-e69ae820e984&pd_rd_w=bM1Vj&pd_rd_wg=rBxKH&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=4H8EE3GY822WERTYWW40&qid=1690460455&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,Amazon Brand - Solimo 8L Polyester Canvas Backpack,₹299,4.4,134,N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon Large 37L Laptop,₹849,3.9,"3,270",N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop,₹649,3.9,"16,648",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-6,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop,₹987,4.4,"5,936",N/A,N/A,N/A,N/A
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-7,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.3,606,N/A,N/A,N/A,N/A
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-8,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop,₹689,3.8,"2,335",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-9,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"₹1,125",4.4,"5,940",Buy Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,N/A,N/A,N/A
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-10,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹248,4.0,"20,089",N/A,N/A,N/A,N/A
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-11,Arctic Fox 15 Liters Draw String,₹229,4.3,"3,413",N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-12,Half Moon Large 37L Laptop,₹849,3.9,"3,270",N/A,N/A,N/A,N/A
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-13,Gear CarryOn 16L Foldable Water Resistant School,₹229,3.7,"6,871",Buy Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black from Casual Backpacks at Amazon.in. 30 days free exchange or return,N/A,N/A,N/A
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690460455&sprefix=ba%2Caps%2C283&sr=8-14,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0,"1,464","Buy WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags from Laptop Backpacks at Amazon.in. 30 days free exchange or return",N/A,N/A,N/A
